Fecha,Franja más cara,Franja más barata,00h - 01h:,01h - 02h:,02h - 03h:,03h - 04h:,04h - 05h:,05h - 06h:,06h - 07h:,07h - 08h:,08h - 09h:,09h - 10h:,10h - 11h:,11h - 12h:,12h - 13h:,13h - 14h:,14h - 15h:,15h - 16h:,16h - 17h:,17h - 18h:,18h - 19h:,19h - 20h:,20h - 21h:,21h - 22h:,22h - 23h:,23h - 24h:
01 de 01 de 2021,20h - 21h,15h - 16h,0.12067,0.11738,0.11467,0.10829,0.10633,0.10613,0.10618,0.10589,0.10439,0.10342,0.10192,0.10113,0.10436,0.10423,0.10351,0.09898,0.10001,0.10315,0.11863,0.12535,0.12782,0.12313,0.12476,0.12184
02 de 01 de 2021,19h - 20h,05h - 06h,0.116,0.11195,0.10945,0.10865,0.10705,0.10701,0.10926,0.11296,0.11589,0.11861,0.11754,0.11653,0.11486,0.11504,0.11518,0.11315,0.1145,0.11925,0.12446,0.12614,0.12588,0.12003,0.11892,0.11454
03 de 01 de 2021,19h - 20h,05h - 06h,0.11527,0.11261,0.10914,0.10708,0.10514,0.10491,0.10606,0.10626,0.1067,0.11196,0.11388,0.11818,0.11459,0.11297,0.1099,0.10745,0.11466,0.12107,0.12546,0.12704,0.12589,0.12509,0.12241,0.12006
04 de 01 de 2021,19h - 20h,04h - 05h,0.12115,0.11812,0.11449,0.11225,0.11207,0.11476,0.12642,0.13226,0.13183,0.13486,0.1317,0.12958,0.12882,0.129,0.12657,0.12762,0.12943,0.1333,0.1381,0.13979,0.13675,0.13239,0.1301,0.12938
05 de 01 de 2021,18h - 19h,04h - 05h,0.13822,0.12873,0.12408,0.12325,0.12275,0.12322,0.12962,0.1388,0.13667,0.14167,0.1391,0.13782,0.136,0.13768,0.1345,0.13319,0.13516,0.1379,0.14805,0.14761,0.14328,0.14324,0.14238,0.13956
06 de 01 de 2021,18h - 19h,05h - 06h,0.14228,0.14205,0.1343,0.1288,0.12821,0.12578,0.1259,0.13825,0.13829,0.14173,0.1429,0.14378,0.1427,0.13932,0.13871,0.13672,0.13926,0.14549,0.16092,0.15975,0.1478,0.1432,0.14167,0.13684
07 de 01 de 2021,18h - 19h,04h - 05h,0.15437,0.14158,0.1392,0.13415,0.13252,0.13518,0.14124,0.1621,0.17045,0.18029,0.17095,0.17144,0.17027,0.17072,0.17101,0.17154,0.16951,0.17143,0.18378,0.18237,0.1747,0.1772,0.17855,0.16697
08 de 01 de 2021,19h - 20h,04h - 05h,0.17845,0.15716,0.14537,0.14001,0.13384,0.13445,0.14703,0.16328,0.17634,0.18571,0.182,0.18269,0.18129,0.18138,0.17949,0.17244,0.17161,0.18323,0.1876,0.18899,0.18398,0.18555,0.17479,0.14835
09 de 01 de 2021,20h - 21h,05h - 06h,0.14737,0.13735,0.1305,0.12568,0.12419,0.12389,0.12466,0.13103,0.13355,0.14358,0.16636,0.17042,0.14508,0.14697,0.14751,0.14341,0.14683,0.17566,0.19484,0.20035,0.20272,0.20255,0.19943,0.18185
10 de 01 de 2021,20h - 21h,13h - 14h,0.13938,0.1336,0.13038,0.12659,0.12676,0.12695,0.12894,0.12775,0.12666,0.13226,0.13451,0.13288,0.13043,0.12575,0.12656,0.12661,0.12711,0.13461,0.17272,0.18697,0.1896,0.1892,0.18131,0.14284
11 de 01 de 2021,20h - 21h,04h - 05h,0.1329,0.12708,0.12428,0.12052,0.11881,0.1256,0.13585,0.15156,0.16966,0.17114,0.16703,0.15226,0.14732,0.14877,0.14533,0.14281,0.15277,0.17177,0.18566,0.19776,0.19955,0.19882,0.18461,0.15924
12 de 01 de 2021,20h - 21h,04h - 05h,0.15092,0.13597,0.12908,0.12832,0.12765,0.128,0.1386,0.15693,0.17061,0.17502,0.17085,0.16792,0.16219,0.16255,0.15631,0.14009,0.14112,0.15742,0.17389,0.18448,0.1889,0.18291,0.16372,0.13928
13 de 01 de 2021,20h - 21h,04h - 05h,0.15144,0.14929,0.14072,0.13834,0.13629,0.13977,0.14826,0.16345,0.16888,0.16892,0.16759,0.16677,0.16483,0.16514,0.16593,0.16597,0.16776,0.17069,0.17311,0.18198,0.18695,0.17682,0.17576,0.15693
14 de 01 de 2021,20h - 21h,05h - 06h,0.17506,0.14659,0.1431,0.13678,0.13422,0.13398,0.14225,0.15915,0.16682,0.16888,0.16638,0.16387,0.15549,0.15507,0.156,0.14958,0.15682,0.16599,0.17165,0.17653,0.18211,0.17755,0.17564,0.17177
15 de 01 de 2021,20h - 21h,04h - 05h,0.14271,0.13312,0.12782,0.12695,0.12464,0.12598,0.13517,0.15017,0.15995,0.16699,0.15828,0.15395,0.14425,0.14136,0.14247,0.14289,0.14897,0.15663,0.16815,0.1673,0.17039,0.16714,0.15837,0.15322
16 de 01 de 2021,20h - 21h,03h - 04h,0.13858,0.13483,0.12946,0.1265,0.12664,0.12652,0.12758,0.12788,0.13395,0.13681,0.13858,0.13712,0.1351,0.1338,0.13499,0.13294,0.13468,0.13857,0.15635,0.16125,0.16766,0.16254,0.15947,0.14319
17 de 01 de 2021,21h - 22h,15h - 16h,0.141,0.1353,0.13065,0.13168,0.13189,0.13178,0.13134,0.13121,0.12942,0.13285,0.13155,0.13197,0.13184,0.13012,0.13016,0.12332,0.12967,0.13709,0.14248,0.15463,0.16024,0.16183,0.15974,0.14474
18 de 01 de 2021,20h - 21h,15h - 16h,0.15858,0.15675,0.14835,0.14686,0.14591,0.15061,0.15319,0.1516,0.15333,0.15457,0.15057,0.14441,0.1433,0.14228,0.13856,0.13773,0.14252,0.15138,0.16353,0.18534,0.19206,0.17185,0.15489,0.14299
19 de 01 de 2021,09h - 10h,23h - 24h,0.16113,0.14535,0.13663,0.13269,0.13101,0.13213,0.1335,0.1458,0.16177,0.16349,0.16088,0.15447,0.15076,0.14644,0.14008,0.13647,0.13966,0.14591,0.15322,0.16144,0.16294,0.15545,0.1391,0.12664
20 de 01 de 2021,20h - 21h,04h - 05h,0.11987,0.1143,0.10886,0.10676,0.09615,0.10505,0.113,0.12424,0.12591,0.12897,0.12821,0.12337,0.11753,0.11383,0.11212,0.10687,0.11057,0.11772,0.12261,0.13065,0.13476,0.12957,0.11818,0.10922
21 de 01 de 2021,09h - 10h,04h - 05h,0.09636,0.08529,0.07311,0.0654,0.06484,0.08115,0.10419,0.11646,0.12172,0.12322,0.11919,0.11745,0.11277,0.11191,0.10566,0.10945,0.11013,0.11478,0.11965,0.12147,0.12009,0.11692,0.11568,0.10853
22 de 01 de 2021,19h - 20h,04h - 05h,0.1015,0.09308,0.08859,0.0876,0.08643,0.09199,0.0947,0.10579,0.11402,0.11593,0.11304,0.10881,0.10455,0.10313,0.0977,0.09829,0.10038,0.11167,0.11822,0.12199,0.12056,0.1182,0.1181,0.11301
23 de 01 de 2021,21h - 22h,05h - 06h,0.09686,0.08797,0.07482,0.07257,0.07065,0.0706,0.07624,0.08068,0.08478,0.08745,0.0928,0.09161,0.08703,0.08896,0.08917,0.08485,0.0851,0.08701,0.09383,0.1059,0.11289,0.11403,0.10393,0.09501
24 de 01 de 2021,20h - 21h,03h - 04h,0.08482,0.07438,0.06383,0.06228,0.06268,0.06429,0.07076,0.07691,0.08157,0.08921,0.09163,0.09092,0.08947,0.09008,0.09037,0.09049,0.09097,0.10654,0.11814,0.12281,0.12568,0.12148,0.12124,0.11463
25 de 01 de 2021,19h - 20h,04h - 05h,0.11605,0.11173,0.10434,0.09956,0.09911,0.10516,0.12113,0.12877,0.14059,0.14285,0.14212,0.13695,0.13449,0.13239,0.12819,0.12679,0.13084,0.13624,0.14208,0.14299,0.13786,0.13543,0.12593,0.12139
26 de 01 de 2021,18h - 19h,04h - 05h,0.12848,0.12261,0.12178,0.11893,0.1186,0.12244,0.13004,0.13935,0.14106,0.14697,0.13965,0.13743,0.13448,0.13317,0.13284,0.13333,0.13424,0.14031,0.15073,0.14201,0.14142,0.13855,0.1359,0.12537
27 de 01 de 2021,18h - 19h,03h - 04h,0.1176,0.11299,0.11117,0.10968,0.10994,0.11262,0.12011,0.13474,0.13349,0.1366,0.13333,0.13239,0.12966,0.12829,0.12708,0.12815,0.13087,0.13313,0.13697,0.13643,0.13319,0.13138,0.12857,0.1195
